tamil,transliterated,colloquial
ஆரம்பகாலப் பாடல்கள் தமிழகத்திலிருந்தே வெளிவந்தன.,ārambagālap pāḍalgaḷ thamizhagathilirundhē veḷivandhaṉa.
"மிலேதெசுவின் தெலேசு காலத்தில் இருந்தே, அதாவதுகி.மு 550 இல் இருந்தே பண்டைய மெய்யியலாளர்கள் அனைத்துப் பொருள்களும் ஆக்கப்படும் அடிப்படையான பண்டம் அழியாதது எனும் காட்சித் தெறிப்புகளைக் கொண்டிருந்தனர்.","milēdhesuviṉ thelēsŭ kālathil irundhē, adhāvadhugi.mŭ 550 il irundhē paṇḍaiya meyyiyalāḷargaḷ aṉaithup poruḷgaḷum ākkappaḍum aḍippaḍaiyāṉa paṇḍam azhiyādhadhŭ yeṉum kāṭchith theṟippugaḷaik koṇḍirundhaṉar."
"இதனால் ஏற்படும் நிலைப்பு தன்மை ஆடியின் எதிர்பார்ப்பையே மிஞ்சியதால், முதலில் அளிக்கப்பட்ட 10 வருட துருப்பிடித்தலில் இருந்து உத்தரவாதத்தை தற்போது 12 வருடமாக நீடித்துள்ளது (துருப்பிடிக்காத அலுமினியம் மேற்பரப்புகளுக்குத் தவிர).","idhaṉāl yēṟpaḍum nilaippŭ thaṉmai āḍiyiṉ yedhirbārppaiyē minjiyadhāl, mudhalil aḷikkappaṭṭa 10 varuḍa thuruppiḍithalil irundhŭ utharavādhathai thaṟpōdhŭ 12 varuḍamāga nīḍithuḷḷadhŭ (thuruppiḍikkādha alumiṉiyam mēṟparappugaḷukkuth thavira)."
"தாவர வளர்ச்சியை நெறிப்படுத்தக் கூடிய ஏறத்தாழ இதேபோன்ற வேதிப்பொருட்கள் பங்கசுக்கள், பக்டீரியாக்கள் என்பவற்றாலும் தயாரிக்கப்படுகின்றன.","thāvara vaḷarchiyai neṟippaḍuthak kūḍiya yēṟathāzha idhēbōṉḏra vēdhipporuṭkaḷ paṅgasukkaḷ, pakṭīriyākkaḷ yeṉbavaṯṟālum thayārikkappaḍugiṉḏraṉa."
மரபணுக்களாலேயே வாழ்நாள் பெரிதும் முடிவாவதாக மரபணுக் கோட்பாடு கூறுகிறது.,marabaṇukkaḷālēyē vāzhnāḷ peridhum muḍivāvadhāga marabaṇuk kōṭpāḍŭ kūṟugiṟadhu.
"மலையகம், மலையக இலக்கியம் தொடர்பில் பல ஆய்வு நூல்களை எழுதியுள்ளார்.","malaiyagam, malaiyaga ilakkiyam thoḍarbil pala āyvŭ nūlgaḷai yezhudhiyuḷḷār."
ஒவ்வொரு வினாடியும் சுமார் 4 மில்லியன் டன் எரிபொருள் ஆற்றலாக மாற்றப்படுகின்றது.,ovvorŭ viṉāḍiyum chumār 4 milliyaṉ ṭaṉ yeriboruḷ āṯṟalāga māṯṟappaḍugiṉḏradhu.
"டிசம்பர் 28, 1948 அன்று, டக்ளஸ் டிசி-3 விமானம் ஒன்று பூர்டோ ரிகோவின் சான் ஜூவானில் இருந்து மியாமி நோக்கி பறந்து செல்கையில் மறைந்து போனது.","ṭisambar 28, 1948 aṉḏru, ṭakḷas ṭisi-3 vimāṉam oṉḏrŭ pūrḍō rigōviṉ chāṉ jūvāṉil irundhŭ miyāmi nōkki paṟandhŭ chelgaiyil maṟaindhŭ pōṉadhu."
இராசபுத்திரப் படைகளும் தலைவர்களுக்குக் கட்டுப்படாது பின்வாங்கி ஓடின.,irāsabuthirap paḍaigaḷum thalaivargaḷukkuk kaṭṭuppaḍādhŭ piṉvāṅgi ōḍiṉa.
1993ம் ஆண்டளவில் இலங்கை இராணுவ படையெடுப்பு காரணமாக பண்டத்தரிபில் வசித்துவந்த அனைவரும் முற்றிலுமாக இடம்பெயர வேண்டி ஏற்பட்டது.,1993m āṇḍaḷavil ilaṅgai irāṇuva paḍaiyeḍuppŭ kāraṇamāga paṇḍatharibil vasithuvandha aṉaivarum muṯṟilumāga iḍambeyara vēṇḍi yēṟpaṭṭadhu.
"இருபதாம் நூற்றாண்டின் முக்கியமான நாடக ஆசிரியராக அறியப்படும் இவர், 1930 ஆம் ஆண்டு கிழக்கு இலண்டனின் ஹாக்னி மாவட்டத்தில் யூத இனத்தைச் சார்ந்த தையற்காரரின் மகனாகப் பிறந்தார்.","irubadhām nūṯṟāṇḍiṉ mukkiyamāṉa nāḍaga āsiriyarāga aṟiyappaḍum ivar, 1930 ām āṇḍŭ kizhakkŭ ilaṇḍaṉiṉ hākṉi māvaṭṭathil yūdha iṉathaich chārndha thaiyaṟkārariṉ magaṉāgap piṟandhār."
மூன்றாவது உடலைத் துவட்டிக் கொள்வதற்கு.,mūṉḏrāvadhŭ uḍalaith thuvaṭṭik koḷvadhaṟku.
பௌர்ணமி கிரிவலம் தமிழ்நாட்டில் புகழ் பெற்று வருகிறது ஜவ்வாது மலைத் தொடர் மற்றும் அதைச் சுற்றி உள்ள நிர்வீழ்ச்சிகள் மற்றும் வனம் சுற்றுலா மற்றும் கோடைஸ்தலமாக உள்ளது.,paurṇami kirivalam thamizhnāṭṭil pugazh peṯṟŭ varugiṟadhŭ javvādhŭ malaith thoḍar maṯṟum adhaich chuṯṟi uḷḷa nirvīzhchigaḷ maṯṟum vaṉam chuṯṟulā maṯṟum kōḍaisdhalamāga uḷḷadhu.
"1876-1880-ம் ஆண்டில் வைஸ்ராயாக இருந்த லிட்டன் பிரபு என்பவர், 1876-ம் ஆண்டு முதல் நகரை வடிவமைப்பதற்கான முயற்சிகளை மேற்கொண்டார்.","1876-1880-m āṇḍil vaisrāyāga irundha liṭṭaṉ pirabŭ yeṉbavar, 1876-m āṇḍŭ mudhal nagarai vaḍivamaippadhaṟkāṉa muyaṟchigaḷai mēṟkoṇḍār."
28/29ஆம் ஆண்டு ஆகும்.,28/29ām āṇḍŭ āgum.
"பெருநிறுவன அல்லது கல்விநிறுவன தீஞ்சுவர்கள், அனைவரின் நன்மைக்காக ஒரு பயனர் கோருகின்ற குறிப்பிட்ட வலை வளங்களைத் தேக்ககப்படுத்துகின்றன.","peruniṟuvaṉa alladhŭ kalviniṟuvaṉa thīnjuvargaḷ, aṉaivariṉ naṉmaikkāga orŭ payaṉar kōrugiṉḏra kuṟippiṭṭa valai vaḷaṅgaḷaith thēkkagappaḍuthugiṉḏraṉa."
தொழிற்சங்கவாதியாக இருந்தபோது சட்டம் பயின்று 1960 இல் இங்கிலாந்து சென்றார்.,thozhiṟchaṅgavādhiyāga irundhabōdhŭ chaṭṭam payiṉḏrŭ 1960 il iṅgilāndhŭ cheṉḏrār.
கோயிலின் கோபுரம் 46 மீட்டர் உயரமுள்ளது.,kōyiliṉ kōburam 46 mīṭṭar uyaramuḷḷadhu.
"இருப்பினும் மின்னதிர்வு கலக்கிகள், அலைமாற்றிகள் போன்றவற்றில் இவை நேரியல் அல்லாத தன்மையைக் கொண்டுள்ளன.","iruppiṉum miṉṉadhirvŭ kalakkigaḷ, alaimāṯṟigaḷ pōṉḏravaṯṟil ivai nēriyal allādha thaṉmaiyaik koṇḍuḷḷaṉa."
இங்குள்ள உயிர்களின் மனநிலை மிகுந்த பயத்தையும் பொறுக்க இயலாத மனவேதனையையும் குறிக்கும்.,iṅguḷḷa uyirgaḷiṉ maṉanilai migundha payathaiyum poṟukka iyalādha maṉavēdhaṉaiyaiyum kuṟikkum.
"அனேக நாடுகளில் முக்கோண வடிவில், தடிப்பான சிகப்பு எல்லைக் கோடிட்டு, வெள்ளைப் பின்புலத்தில் கறுப்பு குறியீடுகள் இடப்பட்டு இருக்கும்.","aṉēga nāḍugaḷil mukkōṇa vaḍivil, thaḍippāṉa chigappŭ yellaik kōḍiṭṭu, veḷḷaip piṉbulathil kaṟuppŭ kuṟiyīḍugaḷ iḍappaṭṭŭ irukkum."
கைதிகள் பக்கம் சாட்சி கூறினார்.,kaidhigaḷ pakkam chāṭchi kūṟiṉār.
மேற்கு-தென்மேற்குத் திசையில் அவதானிக்கப்பட்டது.,mēṟku-theṉmēṟkuth thisaiyil avadhāṉikkappaṭṭadhu.
"அவர்களில் தமிழ்நாட்டில் 9,02,621 மக்கள் வசித்து வருகின்றனர்.","avargaḷil thamizhnāṭṭil 9,02,621 makkaḷ vasithŭ varugiṉḏraṉar."
"இதற்கு துரியோதனன் இரட்டிப்பு சந்தோசமடைந்தான், ஆனால் தன் மாமன் குரு வம்சத்தையே அழிக்கப் போகிறான் என்பதை உணராத துரியோதனன்.","idhaṟkŭ thuriyōdhaṉaṉ iraṭṭippŭ chandhōsamaḍaindhāṉ, āṉāl thaṉ māmaṉ kurŭ vamsathaiyē azhikkap pōgiṟāṉ yeṉbadhai uṇarādha thuriyōdhaṉaṉ."
"1880களில் காட்லீப் டைம்லர் (1834–1900), வில்ஹெல்ம் மேபாஃக்குடன் (1846–1929) பணி புரிந்து கொண்டிருந்த பொழுது காட்லீப் டைம்லரரும் ஏறத்தாழ 96 கி.மீ தொலைவில் தனியே பணியாற்றிக்கொண்டிருந்த கார்ல் பென்ஸ் (1844–1929) என்பவரும் தனித்தனியாக தாங்களே புதிதாக அறிந்து இயற்றிய உள் எரி பொறியால் உந்தப்பெற்ற தானுந்துதனை தென் டாய்ட்ச் நாட்டில் அன்று உருவாக்கினார்கள்.","1880kaḷil kāṭlīp ṭaimlar (1834–1900), vilhelm mēbāஃkkuḍaṉ (1846–1929) paṇi purindhŭ koṇḍirundha pozhudhŭ kāṭlīp ṭaimlararum yēṟathāzha 96 ki.mī tholaivil thaṉiyē paṇiyāṯṟikkoṇḍirundha kārl peṉs (1844–1929) yeṉbavarum thaṉithaṉiyāga thāṅgaḷē pudhidhāga aṟindhŭ iyaṯṟiya uḷ yeri poṟiyāl undhappeṯṟa thāṉundhudhaṉai theṉ ṭāyṭch nāṭṭil aṉḏrŭ uruvākkiṉārgaḷ."
இது வைரசு மூலம் பாதிக்கப்பட்ட அசுத்தமான சூழல்களைத் தொடுவதன் மூலமும் வாய் அல்லது கண்களைத் தொடுவதன் மூலமும் பரவும் .,idhŭ vairasŭ mūlam pādhikkappaṭṭa asuthamāṉa chūzhalgaḷaith thoḍuvadhaṉ mūlamum vāy alladhŭ kaṇgaḷaith thoḍuvadhaṉ mūlamum paravum .
முதலில் இந்த ஊரின் தொடக்கக் காலத்திலிருந்த தேவாங்கர் எனும் தேவாங்க செட்டியார் சமூகத்தவர்கள் மட்டும் இந்தக் கோவிலில் வழிபட்டு வந்தனர்.,mudhalil indha ūriṉ thoḍakkak kālathilirundha thēvāṅgar yeṉum thēvāṅga cheṭṭiyār chamūgathavargaḷ maṭṭum indhak kōvilil vazhibaṭṭŭ vandhaṉar.
