english,tamil,transliterated,colloquial: annotator 1,colloquial: annotator 2
Only Turkey accepted this announcement.,இந்த அறிவிப்பை துருக்கி மட்டுமே ஏற்றுக்கொண்டது.,indha aṟivippai thurukki maṭṭumē yēṯṟukkoṇḍadhu.,indha arivippai thurukki mattum eththukichchi,indha arivippai Turkey mattum eththukutaanga
It is also known as the August Revolution.,இது ஆகஸ்ட் புரட்சி என்றும் அழைக்கப்படுகிறது.,idhŭ āgasṭ puraṭchi yeṉḏrum azhaikkappaḍugiṟadhu.,idhu august paratchi-nu sollappadudhu,idhu august paratchi-nu soluvaanga
This is considered the golden age of India.,இது இந்தியாவின் பொற்காலம் எனக் கருதப்படுகின்றது.,idhŭ indhiyāviṉ poṟkālam yeṉak karudhappaḍugiṉḏradhu.,idhu india-voda porkaalamnu karudhalaam,idhu india-voda porkaalamnu soluvaanga
The area is the place where tourists attract.,இப்பகுதியானது சுற்றுலாப் பயணிகளைக் கவரும் இடமாகும்.,ippagudhiyāṉadhŭ chuṯṟulāp payaṇigaḷaik kavarum iḍamāgum.,indha edam sutrulaa payaningale kavarndhu ilukkum,indha edam tourist-aa attract pannum
This helped to play the game fast.,இது விளையாட்டைத் துரிதமாக விளையாட உதவியது.,idhŭ viḷaiyāṭṭaith thuridhamāga viḷaiyāḍa udhaviyadhu.,idhu vilayaatte vegamaa vilaiyaada udhavichu,idhu vilayaatte fast-aa vilaiyaada udhavichu
99 percent of these people are Hindus.,இவ்வூர் மக்களில் 99 வீதமானோரும் இந்துக்கள்.,ivvūr makkaḷil 99 vīdhamāṉōrum indhukkaḷ.,indhooru makkalle 99 sathavieedham indukkal,indha oorule 99 percent hindu dhan
Pain is like an electrical vibration.,மின் அதிர்வுப் போல வலி இருக்கும்.,miṉ adhirvup pōla vali irukkum.,minathirchi maadhiri valikkum,shock-adikura maadhiri valikkum
All of these are very small.,இவை அனைத்தும் மிகவும் சிறிய அளவு கொண்டவை.,ivai aṉaithum migavum chiṟiya aḷavŭ koṇḍavai.,idhu ellam romba sinna alavu irukku,idhu ellam romba sinna alavaa irukkum
There will be no statues here.,இங்கு எந்த வித சிலைகளும் இருக்காது.,iṅgŭ yendha vidha chilaigaḷum irukkādhu.,inge endha vidhamaana silaingalum irukkaadhu,inge endha vagai silaingalum irukkaadhu
The Rasaputra forces also retreated to the leaders.,இராசபுத்திரப் படைகளும் தலைவர்களுக்குக் கட்டுப்படாது பின்வாங்கி ஓடின.,irāsabuthirap paḍaigaḷum thalaivargaḷukkuk kaṭṭuppaḍādhŭ piṉvāṅgi ōḍiṉa.,raasabuthira padainga thalaivangalukku kattuppadaama bayandhu oodunaanga,raasabuthira padaiyum thalaivargaluku kattuppadaama bayandhu ooditanga
"There are 9,02,621 people living in Tamil Nadu.","அவர்களில் தமிழ்நாட்டில் 9,02,621 மக்கள் வசித்து வருகின்றனர்.","avargaḷil thamizhnāṭṭil 9,02,621 makkaḷ vasithŭ varugiṉḏraṉar.","avangalile thamizhnaatule 9,02,621 peru kudi irukkaanga","avangale thamizhnaatu 9,02,621 peru kudi irukkaangalam"
This is a great milestone in moon research.,இதுவே நிலா ஆராய்ச்சியில் மாபெரும் மைல்கல் ஆகும்.,idhuvē nilā ārāychiyil māberum mailgal āgum.,idhudhaan chandiran araytchiyile periye vetri,idhu dhaan chandiran araytchiyile periye vetri
"Born in Jaffna, he is now living in London.",யாழ்ப்பாணத்தில் பிறந்த இவர் இப்பொழுது லண்டனில் வசித்துவருகிறார்.,yāzhppāṇathil piṟandha ivar ippozhudhŭ laṇḍaṉil vasithuvarugiṟār.,yazhppaanaththule porandha ivaru ippo  londonle kudi irukkaar,yazhppaanaththule porandha ivaru ippo  londonle irukkaaruu
The decorative festival takes place for ten days in Panguni.,அலங்கார உற்சவம் பங்குனியில் பத்துத் நாட்களுக்கு நடைபெறுகின்றது.,alaṅgāra uṟchavam paṅguṉiyil pathuth nāṭkaḷukkŭ naḍaibeṟugiṉḏradhu.,alangaara ursavam pangunile paththu naalukku nadakkum,alangaara ursavam pangunile paththu naalukku nadakkum
The Ravi River joins the Saling.,சையல் என்னுமிடத்தில் ராவி ஆறு இணைகிறது.,agamadhubūr chaiyal yeṉṉumiḍathil rāvi āṟŭ iṇaigiṟadhu.,saiyal appadeengara idaththil  raavi aaru serudhu,saiyal appadeengara idaththile raavi aaru join aagudhu
"The temple is built using about 196,800 stones.","சுமார் 196,800 கற்கள் பயன்படுத்தி இக்கோயில் கட்டப்பட்டுள்ளது.","chumār 196,800 kaṟkaḷ payaṉbaḍuthi ikkōyil kaṭṭappaṭṭuḷḷadhu.","yerakkuraiye 196,800 kallunga vachi indha koil kattappattadhu","kitta thatta 196,800 kallunga vachi indha koille kattunaga"
It pours out of the central mountain country.,இது மத்திய மலை நாட்டிலிருந்து ஊற்றெடுத்துப் பாய்கிறது.,idhŭ mathiya malai nāṭṭilirundhŭ ūṯṟeḍuthup pāygiṟadhu.,idhu pmaththiya malai naatulirundhu ooththeduththu paayum,idhu maththiya malai naatule irundhu ooththeduththu oodudhu
So Babu is very fond of the chief doctor.,அதனால் பாபுவை தலைமை மருத்துவருக்கு மிகவும் பிடிக்கும்.,adhaṉāl pābuvai thalaimai maruthuvarukkŭ migavum piḍikkum.,adhanaale babu-vai periye maruththuvarukku romba pidikkum,adhanaale babu-vai periye doctor-kku romba pidikkum
The division covers an area of ​​148 square kilometers.,இப்பிரிவு 148 சதுர கிலோமீட்டர் பரப்பளவு கொண்டது.,ippirivŭ 148 chadhura kilōmīṭṭar parappaḷavŭ koṇḍadhu.,indhapirivi 148 sathura kilomeeter parappu aagum,indha paguthi148 square kilometer parappu irukkum
Some areas are eaten at night.,சில பகுதிகளில் இரவிலும் சோறு சாப்பிடுவது உண்டு.,chila pagudhigaḷil iravilum chōṟŭ chāppiḍuvadhŭ uṇḍu.,sila edaththule raaththiriyum soru sappadaradhu undu,sila edaththule nightlayum sappadaradhu undu
"At the age of eight, he began to write poetry.",தனது எட்டாவது வயதிலேயே கவிதைகளை எழுதத் தொடங்கினார்.,thaṉadhŭ yeṭṭāvadhŭ vayadhilēyē kavidhaigaḷai yezhudhath thoḍaṅgiṉār.,thannoda ettavadhu vayasiliyea kavithi ezhudha arambichchaar,avuroda ettu vayasiliyea kavithi ezhudha arambichchaaru
"These are prey, respectively.",இவை இரையைப் பிடித்துத் தின்னும் முறையே அலாதியானது.,ivai iraiyaip piḍithuth thiṉṉum muṟaiyē alādhiyāṉadhu.,idhunga eriaye pudichi thinnum vidhame suvaarisiya irukkum,idhunga aasalta eriaye pudichi thinnum
"""Sama"" is the added language of Japanese for respect.","""சாமா"" என்பது ஜப்பானிய மொழியில் மரியாதைக்காக சேர்க்கப்படுவது.","""chāmā"" yeṉbadhŭ jappāṉiya mozhiyil mariyādhaikkāga chērkkappaḍuvadhu.",saama appadeengaradhu japaniya mozhiyile mariyaadhaikkaga serkkaradhu,saama appadeena japan mozhiyile mariyaadhaikkaga-nu soldradhu
The capacity of the dam is 15.67 TMC.,இந்த அணையின் கொள்ளளவு 15.67 டி.எம்.சி ஆகும்.,indha aṇaiyiṉ koḷḷaḷavŭ 15.67 ṭi.yem.chi āgum.,indha anai kollalavu 15.67 t.m.c,indha anaile neriya alavu 15.67 t.m.c
Elephants are leaflets or plant foods.,யானைகள் இலையுண்ணிகள் அல்லது தாவர உண்ணிகள் ஆகும்.,yāṉaigaḷ ilaiyuṇṇigaḷ alladhŭ thāvara uṇṇigaḷ āgum.,yaanainga elai illena sedinga saappudum,yaanai-lam elai illena sedingala saappudum
Actor Chiranjeevi thanked Vijay for this.,இதற்கு நடிகர் சிரஞ்சீவி விஜய்க்கு நன்றி தெரிவித்தார்.,idhaṟkŭ naḍigar chiranjīvi vijaykkŭ naṉḏri therivithār.,idhukku nadikar siranjeevi vijay-kku nandri sonnaar,idhukku actor siranjeevi vijay-kku nandri sonnaaruu
This name means white city.,இந்த பெயருக்கு வெள்ளை நகரம் என்று பொருள்.,indha peyarukkŭ veḷḷai nagaram yeṉḏrŭ poruḷ.,indha perukku vellai nagaram appadeennu arththaam,indha perukku vellai nagaram-nu arththaam
It is a principle that is necessary to eradicate corruption.,ஒளிவின்மை ஊழலை ஒழிக்க அவசியமான கொள்கை ஆகும்.,oḷiviṉmai ūzhalai ozhikka avasiyamāṉa koḷgai āgum.,velippadaithanmai oozhalale ozhikke avasiyamaana kolgai,velippadaithanmai oozhalale ozhikke avasiyamaana kolgai
He banned slavery in his empire.,அவர் தம் பேரரசில் அடிமைத்தனத்திற்கு தடை விதித்தார்.,avar tham pērarasil aḍimaithaṉathiṟkŭ thaḍai vidhithār.,avaru thannoda peararasule adimaimoraiye thadai panninaar,avaru thannoda peararasule adimai moraiye thadai senjaaru
The temple can go to the temple.,தொலைவு மலை ஏறியே இக்கோயிலுக்கு செல்ல முடியும்.,tholaivŭ malai yēṟiyē ikkōyilukkŭ chella muḍiyum.,dhooramaa malai eriye indha koyilukku poga mudiyum,dhooramaa malai erunadhan indha koyilukku poga mudiyum
These are smaller than the wolves in the image.,உருவில் ஓநாய்களைக் காட்டிலும் இவை சிறியதாக இருக்கும்.,uruvil ōnāygaḷaik kāṭṭilum ivai chiṟiyadhāga irukkum.,urvaththule onayai vida idu sinnadha irukkum,urvaththule onaaiya vida idhu sinnadha irukkum
The names of some people stand in the history of music.,சிலருடைய பெயர்கள் இசை வரலாற்றில் நின்று நிலைத்துள்ளன.,chilaruḍaiya peyargaḷ isai varalāṯṟil niṉḏrŭ nilaithuḷḷaṉa.,silaroda peru isai varalarule nilaichchi irukku,silaroda peru isai varalarule nilaichchi irukku
19% of the South Indian states are poor.,தென்னிந்திய மாநிலங்களில் 19% பேர் ஏழைகளாக உள்ளனர்.,theṉṉindhiya mānilaṅgaḷil 19% pēr yēzhaigaḷāga uḷḷaṉar.,then india maanilingalile 19% peru ezhaikalaa irukkaanga,then indiale 19% peru ezhaikalaa irukkaanga
Murugan here is called Vijayvel Murugan.,இங்குள்ள முருகன் வெற்றிவேல் முருகன் என்று அழைக்கப்படுகிறார்.,iṅguḷḷa murugaṉ veṯṟivēl murugaṉ yeṉḏrŭ azhaikkappaḍugiṟār.,ingirukkura murugan vetrivel murugan appadeennu solluvaanga,ingirukkura murugan-a vetrivel murugan nu solluvom
There are no more texts in the Tulu writing.,துளு எழுத்துமுறையில் அதிக அளவில் நூல்கள் இல்லை.,thuḷŭ yezhuthumuṟaiyil adhiga aḷavil nūlgaḷ illai.,thulu mozhiyile neraiye puththagangal ille,thulu mozhiyile neraiye puththagangalam ille
Ilium dissolves in water less than nitrachan.,"ஈலியம், நைதரசனை விடக் குறைவாக நீரில் கரைகிறது.","īliyam, naidharasaṉai viḍak kuṟaivāga nīril karaigiṟadhu.","eeliyam,nitrogen-i vida kammiyaa thanniyile karaiyum",helium nitrogen-vida kammiyaa thanniyile karaiyum
They are very involved in Hindu worship.,இந்து சமய வழிபாட்டில் மிகுந்த ஈடுபாடு காட்டுகின்றனர்.,indhŭ chamaya vazhibāṭṭil migundha īḍubāḍŭ kāṭṭugiṉḏraṉar.,indu samaye vazhipaattule romba akkarai katturaanga,hindu samaye vazhipaattule romba akkarai kattunaaru
"Before the last song, the plaintiff would thank the audience.",கடைசிப்பாடலுக்கு முன்னர் வாத்தியார் பார்வையாளர்களுக்கு நன்றி சொல்வார்.,kaḍaisippāḍalukkŭ muṉṉar vāthiyār pārvaiyāḷargaḷukkŭ naṉḏri cholvār.,kadaisi paattukku munnaale vaaththiyaaru paarkkaravangalukku nandri solvaaru,kadaisi paattukku munnadi teacher allarkkum thanks solvaaru
"Even by the presence of the epicenter, there is no harm.",இராசதிராவகத்தால் கூட இதற்கு எந்த பாதிப்பும் இல்லை.,irāsadhirāvagathāl kūḍa idhaṟkŭ yendha pādhippum illai.,paatharasaththaalkooda ithukku endha paadhippum ille,raasi paathadhula kooda ithukku endha paadhippum ille
" Babusivan starred in the film ""Vettaikaran""."," பாபுசிவன் இயக்கத்தில் ""வேட்டைக்காரன்"" படத்தில் நடித்தார்.","pābusivaṉ iyakkathil ""vēṭṭaikkāraṉ"" paḍathil naḍithār.","babusivan iyakkithule ""vettaikkaaran"" padaththule nadhichchaar","babusivan directionle ""vettaikkaaran"" padaththule nadhichchaaru"
Dogs are generally considered as friends to humans.,நாய்கள் மனிதனின் நண்பன் என்று பரவலாக கருதப்படுகிறது.,nāygaḷ maṉidhaṉiṉ naṇbaṉ yeṉḏrŭ paravalāga karudhappaḍugiṟadhu.,naygal manusanoda nanbarkal-nu perumpaalum sollappadudhu,naygal manusan-oda nanban-nu neriya peru soluvanga
The beauty of the temple at night at Nilaveli.,இரவு நேரங்களில் நிலாவெளியில் ஆலயத்தின் அழகே அழகு.,iravŭ nēraṅgaḷil nilāveḷiyil ālayathiṉ azhagē azhagu.,raaththiri neraththulle  nilavelichaththule koyiloda azhage azhagu,nightle nilaa velichaththule koyiloda azhage azhagu
Malaria parasites can also spread through blood.,மலேரியா ஒட்டுண்ணிகள் இரத்தம் ஏற்றலின் மூலமாகவும் பரவலாம்.,malēriyā oṭṭuṇṇigaḷ iratham yēṯṟaliṉ mūlamāgavum paravalām.,maleria kiruminga raththam yetharadhu moolamaa paravalaam,maleria bacteria blood yetharadhu moolamaa paravalaam
It is no exaggeration if the most turbulent period is.,மிகவும் கொந்தளிப்பான காலகட்டம் என்றால் அது மிகையில்லை.,migavum kondhaḷippāṉa kālagaṭṭam yeṉḏrāl adhŭ migaiyillai.,romba kondalippaana kaalam appadeena sonna adhu saaridhaan,romba kastamaana kaalam appadenu sonna adhu saridhaa
But Jesus' enemies blamed him.,ஆனால் இயேசுவின் எதிரிகள் அவரிடம் குற்றம் கண்டனர்.,āṉāl iyēsuviṉ yedhirigaḷ avariḍam kuṯṟam kaṇḍaṉar.,aana yesuvoda ethireenga avarkiite kuththam kandupidichchaanga,aana yesu-oda ethireenga avarkiite kuththam kandupidichchaanga
The average literacy rate of people is 82.06%.,ஒரத்தநாடு மக்களின் சராசரி கல்வியறிவு 82.06% ஆகும்.,orathanāḍŭ makkaḷiṉ charāsari kalviyaṟivŭ 82.06% āgum.,oranththanaadi makkaloda saraasari padipparivu 82.06%,oranththanaadi makkaloda saraasari padipparivu 82.06%
The digestion of proteins begins with the gastrointestinal tract.,புரதங்களின் செரிமானம் இரைப்பையில் தொடங்கி சிறுகுடலில் தொடர்கிறது.,puradhaṅgaḷiṉ cherimāṉam iraippaiyil thoḍaṅgi chiṟuguḍalil thoḍargiṟadhu.,puradhanga serikkaradhu iraippaiyile aarambichi sirukodalile thodarudhu,proteins digest aaguradhu iraippaiyile start-aagi sirukodalile thodarudhu
He went into the acting industry in his twelfth.,தனது பனிரெண்டாவது அகவையில் நடிப்புத் தொழிலில் இறங்கினார்.,thaṉadhŭ paṉireṇḍāvadhŭ agavaiyil naḍipputh thozhilil iṟaṅgiṉār.,thannoda pannirendaavadhu vayasule nadippu thozhilikku vandhaar,thannoda pannirendaavadhu vayasule nadikka vandhaaruu
He also produced and offered shows on my television.,என் தொலைக்காட்சியிலும் நிகழ்ச்சிகளை தயாரித்து வழங்கி வந்தார்.,yeṉ tholaikkāṭchiyilum nigazhchigaḷai thayārithŭ vazhaṅgi vandhār.,ennoda tholaikkaatchiyulum nigazhchchigale thayarichchu vandhaar,ennoda TV shows-lam panitu vandhaaru
Devakottai Road in the distance is the railway station.,தொலைவில் உள்ள தேவகோட்டை ரோடு ரயில் நிலையமாகும்.,tholaivil uḷḷa thēvagōṭṭai rōḍŭ rayil nilaiyamāgum.,dhooramaa irukkira dhevakotte road-u railway station-dhaan,dhooramaa irukkura dhevakotte road-u dhaan railway station
Thus these are destroyed before going up.,இதனால் இவை மேலே செல்வதற்கு முன்னதாகவே அழிக்கப்படுகின்றன.,idhaṉāl ivai mēlē chelvadhaṟkŭ muṉṉadhāgavē azhikkappaḍugiṉḏraṉa.,idhanale idhu mele poradhukku munnadiye azhinjudum,idhanaledhan idhu mela poradhukku munnadiye azhichiduvanga
The great civilizations in the world are on the banks of rivers.,உலகின் பெரும் நாகரிகங்கள் ஆறுகளின் கரைகளிலேயே அமைந்துள்ளன.,ulagiṉ perum nāgarigaṅgaḷ āṟugaḷiṉ karaigaḷilēyē amaindhuḷḷaṉa.,ulagaththoda periye naagaringangal aaththu karaiyildhaan uruvaachi,ulagaththoda periye olukkamlam aaththu karaiyila irundhudhan vandhuchu
This Amutasurupi later came to Manimegale.,இந்த அமுதசுரபி பின்னர் மணிமேகலை கைக்கு வந்தது.,indha amudhasurabi piṉṉar maṇimēgalai kaikkŭ vandhadhu.,indha amudhasurabhi apparam manimeghalai kaikku vandhuchi,indha amudhasurabhi apparam dhan manimeghalai kaikku vandhuchu
This resulted in a new riot in many places.,இதனால் பல இடங்களில் புதிதாக கலகம் மூண்டது.,idhaṉāl pala iḍaṅgaḷil pudhidhāga kalagam mūṇḍadhu.,idhanale neraiye idaththule puthusaa sande vandhuchi,idhanale neraiye idaththule neriya sande vandhuchu
"Born in Puducherry, he is a commercial and law.","புதுச்சேரியில் பிறந்த இவர் வணிகவியல், சட்டம் பயின்றவர்.","pudhuchēriyil piṟandha ivar vaṇigaviyal, chaṭṭam payiṉḏravar.","puthuchcheriyile porandha ivaru vanigamum,sattamum padichchavar","Puducherryle porandha ivaru vanigamum, sattamum padichaaru"
The former President of India Abdulkalam was born here.,இந்தியாவின் முன்னாள் ஜனாதிபதி அப்துல்கலாம் இங்குதான் பிறந்தார்.,indhiyāviṉ muṉṉāḷ jaṉādhibadhi apthulgalām iṅgudhāṉ piṟandhār.,india-vode munnaal janaadhipadhi abdul kalaam ingedhaan porandhaar,india-oda munnaal janaadhipadhi abdul kalaam ingedhaan porandhaaru
Ponni is a pet to the town.,பொன்னி அந்த ஊர் பெரியவருக்கு  செல்லப்பிள்ளை.,poṉṉi andha ūr periyavarukkŭ chellappiḷḷai.,ponni andha ooru periyavarukku sellappille,ponni andha ooru periyavarukku sellappille
This caused economic loss and stress.,இதனால் பொருளாதார நஷ்டமும் மன உழைச்சலும் ஏற்பட்டன.,idhaṉāl poruḷādhāra nashḍamum maṉa uzhaichalum yēṟpaṭṭaṉa.,idhanaale kaasu nashtamum mana ulachalum undaachchu,idhanaale pana nashtamum mana kastamum aachu
