english,tamil,transliterated,colloquial: annotator 1,colloquial: annotator 2
Ilium dissolves in water less than nitrachan.,"ஈலியம், நைதரசனை விடக் குறைவாக நீரில் கரைகிறது.","eeliyam, naidharasanai vidak kuraivaaga neeril karaigiradhu.","eeliyam,nitrogen-i vida kammiyaa thanniyile karaiyum",helium nitrogen-vida kammiyaa thanniyile karaiyum
They are very involved in Hindu worship.,இந்து சமய வழிபாட்டில் மிகுந்த ஈடுபாடு காட்டுகின்றனர்.,indhu chamaya vazhibaattil migundha eedubaadu kaattugindranar.,indu samaye vazhipaattule romba akkarai katturaanga,hindu samaye vazhipaattule romba akkarai kattunaaru
"Before the last song, the plaintiff would thank the audience.",கடைசிப்பாடலுக்கு முன்னர் வாத்தியார் பார்வையாளர்களுக்கு நன்றி சொல்வார்.,kadaisippaadalukku munnar vaathiyaar paarvaiyaalargalukku nandri cholvaar.,kadaisi paattukku munnaale vaaththiyaaru paarkkaravangalukku nandri solvaaru,kadaisi paattukku munnadi teacher allarkkum thanks solvaaru
"Even by the presence of the epicenter, there is no harm.",இராசதிராவகத்தால் கூட இதற்கு எந்த பாதிப்பும் இல்லை.,iraasadhiraavagathaal kooda idharku endha paadhippum illai.,paatharasaththaalkooda ithukku endha paadhippum ille,raasi paathadhula kooda ithukku endha paadhippum ille
" Babusivan starred in the film ""Vettaikaran""."," பாபுசிவன் இயக்கத்தில் ""வேட்டைக்காரன்"" படத்தில் நடித்தார்.","paabusivan iyakkathil ""vaettaikkaaran"" padathil nadithaar.","babusivan iyakkithule ""vettaikkaaran"" padaththule nadhichchaar","babusivan directionle ""vettaikkaaran"" padaththule nadhichchaaru"
Dogs are generally considered as friends to humans.,நாய்கள் மனிதனின் நண்பன் என்று பரவலாக கருதப்படுகிறது.,naaygal manidhanin nanban endru paravalaaga karudhappadugiradhu.,naygal manusanoda nanbarkal-nu perumpaalum sollappadudhu,naygal manusan-oda nanban-nu neriya peru soluvanga
The beauty of the temple at night at Nilaveli.,இரவு நேரங்களில் நிலாவெளியில் ஆலயத்தின் அழகே அழகு.,iravu naerangalil nilaaveliyil aalayathin azhagae azhagu.,raaththiri neraththulle  nilavelichaththule koyiloda azhage azhagu,nightle nilaa velichaththule koyiloda azhage azhagu
Malaria parasites can also spread through blood.,மலேரியா ஒட்டுண்ணிகள் இரத்தம் ஏற்றலின் மூலமாகவும் பரவலாம்.,malaeriyaa ottunnigal iratham aetralin moolamaagavum paravalaam.,maleria kiruminga raththam yetharadhu moolamaa paravalaam,maleria bacteria blood yetharadhu moolamaa paravalaam
It is no exaggeration if the most turbulent period is.,மிகவும் கொந்தளிப்பான காலகட்டம் என்றால் அது மிகையில்லை.,migavum kondhalippaana kaalagattam endraal adhu migaiyillai.,romba kondalippaana kaalam appadeena sonna adhu saaridhaan,romba kastamaana kaalam appadenu sonna adhu saridhaa
But Jesus' enemies blamed him.,ஆனால் இயேசுவின் எதிரிகள் அவரிடம் குற்றம் கண்டனர்.,aanaal iyaesuvin edhirigal avaridam kutram kandanar.,aana yesuvoda ethireenga avarkiite kuththam kandupidichchaanga,aana yesu-oda ethireenga avarkiite kuththam kandupidichchaanga
The average literacy rate of people is 82.06%.,ஒரத்தநாடு மக்களின் சராசரி கல்வியறிவு 82.06% ஆகும்.,orathanaadu makkalin charaasari kalviyarivu 82.06% aagum.,oranththanaadi makkaloda saraasari padipparivu 82.06%,oranththanaadi makkaloda saraasari padipparivu 82.06%
The digestion of proteins begins with the gastrointestinal tract.,புரதங்களின் செரிமானம் இரைப்பையில் தொடங்கி சிறுகுடலில் தொடர்கிறது.,puradhangalin cherimaanam iraippaiyil thodangi chirugudalil thodargiradhu.,puradhanga serikkaradhu iraippaiyile aarambichi sirukodalile thodarudhu,proteins digest aaguradhu iraippaiyile start-aagi sirukodalile thodarudhu
He went into the acting industry in his twelfth.,தனது பனிரெண்டாவது அகவையில் நடிப்புத் தொழிலில் இறங்கினார்.,thanadhu panirendaavadhu agavaiyil nadipputh thozhilil iranginaar.,thannoda pannirendaavadhu vayasule nadippu thozhilikku vandhaar,thannoda pannirendaavadhu vayasule nadikka vandhaaruu
He also produced and offered shows on my television.,என் தொலைக்காட்சியிலும் நிகழ்ச்சிகளை தயாரித்து வழங்கி வந்தார்.,en tholaikkaatchiyilum nigazhchigalai thayaarithu vazhangi vandhaar.,ennoda tholaikkaatchiyulum nigazhchchigale thayarichchu vandhaar,ennoda TV shows-lam panitu vandhaaru
Devakottai Road in the distance is the railway station.,தொலைவில் உள்ள தேவகோட்டை ரோடு ரயில் நிலையமாகும்.,tholaivil ulla thaevagottai rodu rayil nilaiyamaagum.,dhooramaa irukkira dhevakotte road-u railway station-dhaan,dhooramaa irukkura dhevakotte road-u dhaan railway station
Thus these are destroyed before going up.,இதனால் இவை மேலே செல்வதற்கு முன்னதாகவே அழிக்கப்படுகின்றன.,idhanaal ivai maelae chelvadharku munnadhaagavae azhikkappadugindrana.,idhanale idhu mele poradhukku munnadiye azhinjudum,idhanaledhan idhu mela poradhukku munnadiye azhichiduvanga
The great civilizations in the world are on the banks of rivers.,உலகின் பெரும் நாகரிகங்கள் ஆறுகளின் கரைகளிலேயே அமைந்துள்ளன.,ulagin perum naagarigangal aarugalin karaigalilaeyae amaindhullana.,ulagaththoda periye naagaringangal aaththu karaiyildhaan uruvaachi,ulagaththoda periye olukkamlam aaththu karaiyila irundhudhan vandhuchu
This Amutasurupi later came to Manimegale.,இந்த அமுதசுரபி பின்னர் மணிமேகலை கைக்கு வந்தது.,indha amudhasurabi pinnar manimaegalai kaikku vandhadhu.,indha amudhasurabhi apparam manimeghalai kaikku vandhuchi,indha amudhasurabhi apparam dhan manimeghalai kaikku vandhuchu
This resulted in a new riot in many places.,இதனால் பல இடங்களில் புதிதாக கலகம் மூண்டது.,idhanaal pala idangalil pudhidhaaga kalagam moondadhu.,idhanale neraiye idaththule puthusaa sande vandhuchi,idhanale neraiye idaththule neriya sande vandhuchu
"Born in Puducherry, he is a commercial and law.","புதுச்சேரியில் பிறந்த இவர் வணிகவியல், சட்டம் பயின்றவர்.","pudhuchaeriyil pirandha ivar vanigaviyal, chattam payindravar.","puthuchcheriyile porandha ivaru vanigamum,sattamum padichchavar","Puducherryle porandha ivaru vanigamum, sattamum padichaaru"
The former President of India Abdulkalam was born here.,இந்தியாவின் முன்னாள் ஜனாதிபதி அப்துல்கலாம் இங்குதான் பிறந்தார்.,indhiyaavin munnaal janaadhibadhi apthulgalaam ingudhaan pirandhaar.,india-vode munnaal janaadhipadhi abdul kalaam ingedhaan porandhaar,india-oda munnaal janaadhipadhi abdul kalaam ingedhaan porandhaaru
Ponni is a pet to the town.,பொன்னி அந்த ஊர் பெரியவருக்கு  செல்லப்பிள்ளை.,ponni andha oor periyavarukku  chellappillai.,ponni andha ooru periyavarukku sellappille,ponni andha ooru periyavarukku sellappille
This caused economic loss and stress.,இதனால் பொருளாதார நஷ்டமும் மன உழைச்சலும் ஏற்பட்டன.,idhanaal porulaadhaara nashdamum mana uzhaichalum aerpattana.,idhanaale kaasu nashtamum mana ulachalum undaachchu,idhanaale pana nashtamum mana kastamum aachu
